school_name,school_type,osslt10,ossltchange,low_inc,no_deg,esl,imm
East Northumberland Secondary School,Public,68,-3,10,5,1,0
Kenner Collegiate and Vocational Institute,Public,73,11,23,5,8,1
Norwood District High School,Public,60,-10,20,10,0,0
Port Hope High School,Public,69,9,15,0,0,0
Thomas A Stewart Secondary School,Public,74,2,15,3,7,4
Beaver Brae Secondary School,Public,62,-5,8,6,1,0
Dryden High School,Public,59,-6,8,6,1,2
Red Lake District High School,Public,58,-14,0,15,5,0
Sioux North District High School,Public,29,-9,5,20,5,0
St Thomas Aquinas High School,Catholic,66,-8,10,10,0,0
Hammarskjold High School,Public,78,1,16,7,6,3
Superior Collegiate and Vocational Institute,Public,78,-1,13,6,4,2
Westgate Collegiate and Vocational Institute,Public,82,-3,13,7,3,1
Alexander Mackenzie Secondary School,Public,20,-14,20,5,0,0
Blenheim District High School,Public,59,-9,15,5,0,0
Chatham-Kent Secondary School,Public,81,0,15,7,6,1
Great Lakes Secondary School,Public,69,-1,21,6,4,1
John McGregor Secondary School,Public,74,0,19,6,7,2
Lambton Central Collegiate and Vocational Institute,Public,78,-4,9,1,4,0
Lambton Kent Composite School,Public,78,6,5,15,0,0
North Lambton Secondary School,Public,74,-9,10,3,2,2
Northern Collegiate Institute and Vocational School,Public,86,-6,10,3,8,1
Ridgetown District High School,Public,67,3,10,10,10,5
Tilbury District High School,Public,60,4,10,25,45,0
Wallaceburg District Secondary School,Public,57,-7,19,11,3,0
Bayridge Secondary School,Public,73,-8,8,2,10,3
Ernestown Secondary School,Public,74,-10,10,0,0,0
Frontenac Secondary School,Public,85,-1,8,3,4,1
Granite Ridge Education Centre Secondary School,Public,62,-12,20,10,0,0
La Salle Secondary School,Public,66,-16,5,1,3,1
Loyalist Collegiate and Vocational Institute,Public,78,2,24,5,14,8
Napanee District Secondary School,Public,64,-5,16,5,1,0
North Addington Education Centre,Public,67,26,30,20,0,0
Sydenham High School,Public,72,-1,7,2,1,0
Catholic Central High School,Catholic,85,11,23,9,26,19
Holy Cross Catholic Secondary School,Catholic,67,-11,10,0,0,0
John Paul II Catholic Secondary School,Catholic,72,2,25,15,14,10
Mother Teresa Catholic Secondary School,Catholic,89,-4,17,5,20,2
Regina Mundi College,Catholic,77,9,21,7,14,4
St Joseph's High School,Catholic,81,1,11,7,1,1
St Mary's High School,Catholic,71,-11,9,6,4,1
St Thomas Aquinas Secondary School,Catholic,89,-1,11,1,4,3
St. Andre Bessette Secondary School,Catholic,80,-8,17,3,18,6
Almaguin Highlands Secondary School,Public,69,8,20,10,5,0
Chippewa Secondary School,Public,72,-16,16,3,4,1
F J McElligott Secondary School,Public,55,-1,15,5,5,0
Northern Secondary School,Public,53,-15,15,10,0,5
Parry Sound High School,Public,61,-9,15,6,1,1
West Ferris Secondary School,Public,68,-12,20,0,0,0
Widdifield Secondary School,Public,69,-10,11,6,3,2
Blessed Trinity Catholic Secondary School,Catholic,86,0,8,2,4,1
Denis Morris Catholic High School,Catholic,76,-9,19,8,14,5
Holy Cross Catholic Secondary School,Catholic,77,-5,17,7,20,6
Lakeshore Catholic High School,Catholic,84,-4,17,5,5,1
Notre Dame College School,Catholic,83,-1,16,3,6,2
Saint Francis Catholic Secondary School,Catholic,82,-6,16,5,16,4
Saint Michael Catholic High School,Catholic,89,7,16,6,22,5
Saint Paul Catholic High School,Catholic,75,-3,13,5,12,4
St Joseph-Scollard Hall Secondary School,Catholic,78,-2,14,5,2,0
O'Gorman High School,Catholic,69,4,10,5,0,0
All Saints Catholic High School,Catholic,92,6,7,1,12,2
Holy Trinity Catholic High School,Catholic,85,-6,7,2,15,3
Immaculata High School,Catholic,83,-4,27,9,20,7
Lester B Pearson Catholic High School,Catholic,71,9,28,7,44,28
Notre Dame High School,Catholic,74,0,30,15,30,10
Sacred Heart High School,Catholic,89,-1,5,0,4,1
St Joseph High School,Catholic,86,-7,9,2,18,3
St Mark High School,Catholic,83,-4,5,1,3,1
St Matthew High School,Catholic,92,-2,8,2,16,4
St Patrick's High School,Catholic,81,6,33,15,42,16
St Paul High School,Catholic,85,6,20,5,15,5
St Peter High School,Catholic,79,-8,7,2,12,3
St Pius X High School,Catholic,76,-2,19,7,30,18
St. Francis Xavier (9-12) Catholic School,Catholic,87,-3,14,4,24,4
St. Mother Teresa High School,Catholic,88,2,9,2,22,7
A.Y. Jackson Secondary School,Public,86,-5,8,1,24,2
Bell High School,Public,81,1,18,7,53,14
Brookfield High School,Public,76,-2,23,10,55,13
Cairine Wilson Secondary School,Public,85,0,6,2,18,1
Canterbury High School,Public,94,3,14,5,17,3
Colonel By Secondary School,Public,98,3,10,1,38,3
Earl of March Secondary School,Public,94,2,9,1,43,6
Glebe Collegiate Institute,Public,85,-1,14,5,20,7
Gloucester High School,Public,74,0,28,10,59,20
Hillcrest High School,Public,74,-1,23,13,40,4
John McCrae Secondary School,Public,88,-4,8,2,26,1
Lisgar Collegiate Institute,Public,96,0,21,3,32,7
Longfields Davidson Heights Secondary School,Public,89,1,11,2,39,4
Merivale High School,Public,88,1,11,5,24,3
Nepean High School,Public,90,-4,13,3,15,2
Osgoode Township High School,Public,82,-9,10,0,0,0
Ridgemont High School,Public,55,-10,34,17,67,24
