school_name,school_type,osslt10,low_inc,no_deg,esl,imm
Holy Trinity Catholic High School,Catholic,93,7,2,22,5
Immaculata High School,Catholic,84,27,9,20,9
Lester B Pearson Catholic High School,Catholic,75,26,7,43,26
Notre Dame High School,Catholic,77,30,15,35,10
Sacred Heart High School,Catholic,95,5,0,6,1
St Joseph High School,Catholic,91,9,3,20,4
St Mark High School,Catholic,86,6,1,7,0
St Matthew High School,Catholic,92,8,2,20,3
St Patrick's High School,Catholic,76,30,13,41,17
St Paul High School,Catholic,89,20,10,20,0
St Peter High School,Catholic,88,7,1,15,4
St Pius X High School,Catholic,82,18,8,32,14
St. Francis Xavier (9-12) Catholic School,Catholic,88,14,5,30,7
St. Mother Teresa High School,Catholic,92,10,2,25,9
A.Y. Jackson Secondary School,Public,92,7,1,25,5
Bell High School,Public,88,21,8,46,13
Brookfield High School,Public,75,20,10,45,10
Cairine Wilson Secondary School,Public,88,7,2,23,2
Canterbury High School,Public,96,14,5,15,1
Colonel By Secondary School,Public,97,11,2,42,5
Earl of March Secondary School,Public,97,10,1,44,8
Glebe Collegiate Institute,Public,91,12,4,22,7
Gloucester High School,Public,62,29,10,52,17
Hillcrest High School,Public,81,25,10,35,0
John McCrae Secondary School,Public,91,8,2,36,7
Lisgar Collegiate Institute,Public,93,23,3,30,4
Longfields Davidson Heights Secondary School,Public,89,10,1,41,6
Merivale High School,Public,93,12,4,37,4
Nepean High School,Public,96,12,2,14,1
Osgoode Township High School,Public,79,5,0,5,0
Ottawa Technical Secondary School,Public,17,20,5,20,0
Ridgemont High School,Public,63,33,14,60,19
Sir Guy Carleton Secondary School,Public,59,20,10,10,0
Sir Robert Borden High School,Public,89,13,5,25,3
Sir Wilfrid Laurier Secondary School,Public,90,7,2,29,2
South Carleton High School,Public,89,6,0,7,2
West Carleton Secondary School,Public,90,5,2,22,1
Woodroffe High School,Public,85,24,12,45,17
Applewood Heights Secondary School,Public,90,20,7,51,5
Bramalea Secondary School,Public,80,21,12,48,10
Brampton Centennial Secondary School,Public,85,14,7,51,4
Castlebrooke Secondary School,Public,87,12,14,68,4
Cawthra Park Secondary School,Public,89,15,4,30,2
Central Peel Secondary School,Public,76,16,9,54,11
Chinguacousy Secondary School,Public,94,13,8,66,5
Clarkson Secondary School,Public,74,16,5,34,4
David Suzuki Secondary School,Public,78,13,7,53,6
Erindale Secondary School,Public,88,20,7,53,6
Fletcher's Meadow Secondary School,Public,84,11,8,59,6
Glenforest Secondary School,Public,89,27,9,72,7
Harold M. Brathwaite Secondary School,Public,90,12,8,73,5
Heart Lake Secondary School,Public,78,10,8,40,4
Humberview Secondary School,Public,85,6,6,25,1
Jean Augustine Secondary School,Public,81,13,4,56,6
John Fraser Secondary School,Public,94,19,1,68,13
Judith Nyman Secondary School,Public,22,15,10,25,0
Lincoln M. Alexander Secondary School,Public,66,22,19,56,10
Lorne Park Secondary School,Public,92,12,3,28,1
Louise Arbour Secondary School,Public,80,10,9,70,6
Mayfield Secondary School,Public,94,9,6,33,1
Meadowvale Secondary School,Public,85,13,4,55,7
Mississauga Secondary School,Public,82,13,9,71,9
North Park Secondary School,Public,86,12,9,60,4
Port Credit Secondary School,Public,94,20,4,45,5
Rick Hansen Secondary School,Public,81,18,5,72,9
Sandalwood Heights Secondary School,Public,78,10,11,72,6
Stephen Lewis Secondary School,Public,83,22,3,74,12
Streetsville Secondary School,Public,91,13,5,41,5
T. L. Kennedy Secondary School,Public,72,27,8,76,25
The Woodlands Secondary School,Public,92,17,6,63,7
Turner Fenton Secondary School,Public,86,14,9,57,2
West Credit Secondary School,Public,21,20,6,35,2
Holy Cross Catholic Secondary School,Catholic,81,16,4,4,1
Holy Trinity Catholic Secondary School,Catholic,77,6,2,6,1
St. Mary Catholic Secondary School,Catholic,88,13,2,1,1
St. Peter Catholic Secondary School,Catholic,87,13,3,5,1
St. Stephen Catholic Secondary School,Catholic,80,7,3,4,1
St. Thomas Aquinas Catholic Secondary School,Catholic,71,10,10,0,0
Chelmsford Valley District Composite School,Public,65,10,0,0,0
Confederation Secondary School,Public,75,10,5,0,0
Espanola High School,Public,68,10,15,0,0
Lasalle Secondary School,Public,63,17,2,4,2
Lively District Secondary School,Public,82,0,5,5,0
Lo-Ellen Park Secondary School,Public,95,8,2,6,2
Lockerby Composite School,Public,87,12,2,3,2
Manitoulin Secondary School,Public,72,10,5,0,0
Sudbury Secondary School,Public,78,25,0,0,0
Fort Frances High School,Public,71,11,9,5,1
Northern Lakes High School,Public,75,10,0,0,0
Rainy River High School,Public,64,5,10,0,0
