year,country,math,read,science
2000,HKG,709.02,611.47,597.34
2000,HKG,732.68,676.92,618.09
2000,HKG,737.99,629.6,714.54
2000,HKG,691.47,620.56,647.86
2000,HKG,650.22,646.87,646.89
2000,HKG,704.41,664.14,629.75
2000,HKG,525.81,512.35,492.63
2000,HKG,676.2,650.56,558.55
2000,HKG,586.14,577.84,502.63
2000,HKG,634.19,561.43,567.51
2000,HKG,651.78,628.74,617.19
2000,HKG,659.41,636.92,614.48
2000,HKG,609.77,613.24,515.19
2000,HKG,428.91,403.33,392.57
2000,HKG,457.89,436.91,453.85
2000,HKG,491.47,494.17,499.85
2000,HKG,499.89,418.78,382.65
2000,HKG,522.76,377.83,432.2
2000,HKG,529.66,416.05,483.68
2000,HKG,464.02,442.41,440.38
2000,HKG,570.84,552.34,609
2000,HKG,589.16,624.15,581.04
2000,HKG,645.67,570.57,587.42
2000,HKG,610.56,575.11,577.5
2000,HKG,748.71,585.11,590.13
2000,HKG,551,569.61,541.35
2000,HKG,625.03,589.61,627.95
2000,HKG,651.01,656.92,601.85
2000,HKG,551.03,584.2,582.01
2000,HKG,612.82,599.61,626.14
2000,HKG,580.8,511.49,507.14
2000,HKG,585.38,578.75,595.54
2000,HKG,517.42,520.53,590.06
2000,HKG,632.67,613.24,630.65
2000,HKG,644.11,596.88,638.77
2000,HKG,646.43,584.2,566.67
2000,HKG,570.08,587.79,593.67
2000,HKG,586.14,479.68,513.45
2000,HKG,623.54,575.11,613.58
2000,HKG,572.37,517.8,530.52
2000,HKG,634.99,548.76,561.26
2000,HKG,534.97,504.17,467.38
2000,HKG,572.4,530.58,567.57
2000,HKG,549.5,486.04,500.82
2000,HKG,704.44,611.47,622.6
2000,HKG,551.76,560.52,553.98
2000,HKG,589.16,596.88,597.27
2000,HKG,588.43,504.22,539.61
2000,HKG,539.55,534.16,562.09
2000,HKG,651.01,533.3,540.51
2000,HKG,586.87,557.8,588.25
2000,HKG,593.01,521.49,524.27
2000,HKG,546.45,567.84,563.97
2000,HKG,415.14,501.44,534.13
2000,HKG,623.51,603.24,654.11
2000,HKG,643.35,630.51,585.55
2000,HKG,586.87,461.45,508.87
2000,HKG,561.72,526.03,524.27
2000,HKG,538.82,476.04,512.55
2000,HKG,583.82,448.72,496.24
2000,HKG,630.41,622.38,576.59
2000,HKG,586.9,564.21,493.6
2000,HKG,675.41,611.42,578.33
2000,HKG,594.54,556.94,572.99
2000,HKG,686.89,612.38,582.91
2000,HKG,545.66,600.52,582.84
2000,HKG,546.42,582.34,535.93
2000,HKG,596.79,541.43,559.39
2000,HKG,694.52,582.39,480.98
2000,HKG,580,625.06,627.95
2000,HKG,583.85,503.31,502.63
2000,HKG,666.25,666.87,682.07
2000,HKG,542.64,512.4,480.07
