"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112135","6.3.1","298111","","","","0"
"2018/2019","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112136","6.3.2","100","","","","0"
"2018/2019","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112137","6.3.3","67","","","","0"
"2018/2019","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112138","6.3.4","39","","","","0"
"2018/2019","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112139","6.3.5","28","","","","0"
"2018/2019","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112140","6.3.6","33","","","","0"
"2018/2019","New Brunswick","2016A000213","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112141","6.3.7","0","","","","0"
"2018/2019","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112142","6.4.1","609727","","","","0"
"2018/2019","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112143","6.4.2","92","","","","0"
"2018/2019","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112144","6.4.3","67","","","","0"
"2018/2019","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112145","6.4.4","39","","","","0"
"2018/2019","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112146","6.4.5","28","","","","0"
"2018/2019","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112147","6.4.6","33","","","","0"
"2018/2019","New Brunswick","2016A000213","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112148","6.4.7","8","","","","0"
"2018/2019","Quebec","2016A000224","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112149","7.1.1","16913349","","","","0"
"2018/2019","Quebec","2016A000224","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112150","7.1.2","90","","","","0"
"2018/2019","Quebec","2016A000224","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112151","7.1.3","79","","","","0"
"2018/2019","Quebec","2016A000224","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112152","7.1.4","61","","","","0"
"2018/2019","Quebec","2016A000224","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112153","7.1.5","18","","","","0"
"2018/2019","Quebec","2016A000224","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112154","7.1.6","21","","","","0"
"2018/2019","Quebec","2016A000224","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112155","7.1.7","10","","","","0"
"2018/2019","Quebec","2016A000224","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112156","7.2.1","11969309","","","","0"
"2018/2019","Quebec","2016A000224","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112157","7.2.2","91","","","","0"
"2018/2019","Quebec","2016A000224","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112158","7.2.3","69","","","","0"
"2018/2019","Quebec","2016A000224","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112159","7.2.4","43","","","","0"
"2018/2019","Quebec","2016A000224","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112160","7.2.5","26","","","","0"
"2018/2019","Quebec","2016A000224","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112161","7.2.6","31","","","","0"
"2018/2019","Quebec","2016A000224","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112162","7.2.7","9","","","","0"
"2018/2019","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Total expenditure","Canadian dollars","47","thousands","3","v1278112163","7.3.1","4410803","","","","0"
"2018/2019","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112164","7.3.2","92","","","","0"
"2018/2019","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112165","7.3.3","72","","","","0"
"2018/2019","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112166","7.3.4","49","","","","0"
"2018/2019","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112167","7.3.5","23","","","","0"
"2018/2019","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112168","7.3.6","28","","","","0"
"2018/2019","Quebec","2016A000224","Short cycle tertiary (college) and postsecondary non-tertiary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112169","7.3.7","8","","","","0"
"2018/2019","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Total expenditure","Canadian dollars","47","thousands","3","v1278112170","7.4.1","7558506","","","","0"
"2018/2019","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112171","7.4.2","91","","","","0"
"2018/2019","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112172","7.4.3","68","","","","0"
"2018/2019","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112173","7.4.4","40","","","","0"
"2018/2019","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112174","7.4.5","28","","","","0"
"2018/2019","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112175","7.4.6","32","","","","0"
"2018/2019","Quebec","2016A000224","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112176","7.4.7","9","","","","0"
"2018/2019","Ontario","2016A000235","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112177","8.1.1","32238277","","","","0"
"2018/2019","Ontario","2016A000235","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112178","8.1.2","92","","","","0"
"2018/2019","Ontario","2016A000235","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112179","8.1.3","83","","","","0"
"2018/2019","Ontario","2016A000235","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112180","8.1.4","67","","","","0"
"2018/2019","Ontario","2016A000235","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112181","8.1.5","16","","","","0"
"2018/2019","Ontario","2016A000235","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112182","8.1.6","17","","","","0"
"2018/2019","Ontario","2016A000235","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112183","8.1.7","8","","","","0"
"2018/2019","Ontario","2016A000235","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112184","8.2.1","23609207","","","","0"
"2018/2019","Ontario","2016A000235","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112185","8.2.2","95","","","","0"
