"REF_DATE","GEO","DGUID","Level of education","Expenditure Type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018/2019","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112119","5.4.6","39","","","","0"
"2018/2019","Nova Scotia","2016A000212","Bachelor's, master's, doctoral or equivalent","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112120","5.4.7","10","","","","0"
"2018/2019","New Brunswick","2016A000213","All primary and secondary education","Total expenditure","Canadian dollars","47","thousands","3","v1278112121","6.1.1","1447691","","","","0"
"2018/2019","New Brunswick","2016A000213","All primary and secondary education","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112122","6.1.2","92","","","","0"
"2018/2019","New Brunswick","2016A000213","All primary and secondary education","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112123","6.1.3","80","","","","0"
"2018/2019","New Brunswick","2016A000213","All primary and secondary education","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112124","6.1.4","69","","","","0"
"2018/2019","New Brunswick","2016A000213","All primary and secondary education","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112125","6.1.5","11","","","","0"
"2018/2019","New Brunswick","2016A000213","All primary and secondary education","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112126","6.1.6","20","","","","0"
"2018/2019","New Brunswick","2016A000213","All primary and secondary education","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112127","6.1.7","8","","","","0"
"2018/2019","New Brunswick","2016A000213","All postsecondary","Total expenditure","Canadian dollars","47","thousands","3","v1278112128","6.2.1","907838","","","","0"
"2018/2019","New Brunswick","2016A000213","All postsecondary","Current expenditure as a percentage of total expenditure","Percent","239","units","0","v1278112129","6.2.2","95","","","","0"
"2018/2019","New Brunswick","2016A000213","All postsecondary","Compensation of all staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112130","6.2.3","67","","","","0"
"2018/2019","New Brunswick","2016A000213","All postsecondary","Compensation of teachers (as a percentage of current expenditure)","Percent","239","units","0","v1278112131","6.2.4","39","","","","0"
"2018/2019","New Brunswick","2016A000213","All postsecondary","Compensation of other staff (as a percentage of current expenditure)","Percent","239","units","0","v1278112132","6.2.5","28","","","","0"
"2018/2019","New Brunswick","2016A000213","All postsecondary","Other current expenditure (as a percentage of current expenditure)","Percent","239","units","0","v1278112133","6.2.6","33","","","","0"
"2018/2019","New Brunswick","2016A000213","All postsecondary","Capital expenditure percentage of total expenditure","Percent","239","units","0","v1278112134","6.2.7","5","","","","0"
